id,message,score
388,Let's discuss this in detail tomorrow,12
389,You look stunning as always,85
390,The meeting has been moved to 3 PM,15
391,We have so much in common,54
392,Lowkey been thinking about that convo we had.,61
393,You have such pretty hair,80
394,I really enjoy spending time with you,57
395,You're very insightful,20
396,"On God, you're a good person.",20
397,You're really fun to be around,50
398,You look stunning as always,78
399,"On God, you're a good person.",17
400,I'm completely smitten with you 💕,93
401,Haha that was funny 😂,19
402,You're drop-dead gorgeous 😍,98
403,Want to try that new restaurant?,58
404,That's a really good point,37
405,Please review the attached document,12
406,"Wow, you're absolutely gorgeous 😍",91
407,You've got the most beautiful smile 😊,86
408,Let's discuss this in detail tomorrow,2
409,I always look forward to seeing you,47
410,Have you seen the latest updates?,5
411,You take my breath away,96
412,Let's go for coffee sometime ☕,48
413,That color looks amazing on you,84
414,You look stunning as always,74
415,Lowkey been thinking about that convo we had.,42
416,You're so photogenic,81
417,Did you get my email?,15
418,I had fun hanging out with you,44
419,I'm lowkey obsessed with you.,86
420,You have such beautiful features,74
421,I appreciate your advice,38
422,You did really well on that project,17
423,You have such pretty hair,85
424,Let's hang out soon,57
425,Hope you're having a good week,22
426,That dress suits you so well,83
427,That outfit is 🔥🔥🔥,96
428,"I'm not gonna lie, you're pretty cool. 😉",57
429,Don't forget about tomorrow's meeting,1
430,"Your 'fit was fire today, no cap.",53
431,You're a goddess 👑,98
432,"I'm dead, that's so funny 😂💀",23
433,You're so photogenic,73
434,Can you help me with this task?,4
435,What's the vibe today? 😊,18
436,"You're not sus, you're just cool.",37
437,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",95
438,You make work more enjoyable,53
439,You take my breath away,96
440,You brighten up the room,70
441,Let's discuss this in detail tomorrow,14
442,"Thanks for the tea, spill it all! ☕",17
443,That's a really good point,38
444,I always look forward to seeing you,43
445,Let me know if you need any clarification,12
446,Want to try that new restaurant?,58
447,Let's hang out soon,59
448,That outfit is 🔥🔥🔥,99
449,You've got the most beautiful smile 😊,83
450,"Stop making me blush, you're too cute.",73
451,You're drop-dead gorgeous 😍,100
452,"Hey gorgeous, what are you up to?",94
453,I'd go delulu for you.,95
454,We have so much in common,65
455,The client wants to reschedule,8
456,Did you get my email?,12
457,Can we work on the project together?,10
458,"Your body is a masterpiece, you're an artist.",94
459,You're really talented,31
460,"You have so much rizz, it's not fair.",89
461,Just thinking about you makes me smile like a clown.,96
462,"Every time you text me, my phone does a happy dance.",71
463,"That was a whole mood, lol.",40
464,"Every time you text me, my phone does a happy dance.",71
465,Let's grab a coffee or something sometime. No cap.,57
466,Thanks for the reminder,0
467,My day was mid until I saw your text.,49
468,I'd love to spend more time with you ❤️,91
469,"That's so real, fr fr.",35
470,We have so much in common,64
471,Thanks for helping me out,22
472,You look amazing in that dress,79
473,Let's discuss this in detail tomorrow,12
474,You're a whole W in my book.,61
475,I'm head over heels for you,97
476,"Just saying, you're not like everyone else.",44
477,"You're not sus, you're just cool.",22
478,I'm completely smitten with you 💕,92
479,Let's hang out soon,62
480,You always make me laugh,51
481,"On God, you're a good person.",24
482,I'd love to spend more time with you ❤️,91
483,You're not giving basic at all.,32
484,I feel so comfortable around you,61
485,You're absolutely radiant,79
486,You have a mad good aura.,42
487,Can you double-check these numbers?,1
488,That's so thoughtful of you,20
489,That dress suits you so well,86
490,I'm falling for you hard,92
491,Can you send me the report by tonight?,12
492,That was a great presentation,27
493,You make me feel so special,92
494,Can you double-check these numbers?,2
495,Hope your day is bussin' 🙌,21
496,You're such a good friend,27
497,Let's discuss this in detail tomorrow,3
498,You make my heart skip a beat,94
499,I stan your work ethic.,18
500,I'm so glad we're talking. ✨,45
501,You're perfect in every way,97
502,You have the most beautiful laugh,75
503,The client wants to reschedule,1
504,I think about you when I'm bored. And when I'm not. 😉,82
505,You're really talented,29
506,I'm so lucky to know you ❤️,92
507,Want to catch a movie this weekend?,45
508,You're the girl of my dreams,91
509,Thanks for being so helpful,24
510,"I'm lowkey catching feelings, lol.",67
511,You're really easy to talk to,50
512,"I'm not gonna lie, you're pretty cool. 😉",66
513,I'm so glad I slid into your DMs. 😉,78
514,Can we work on the project together?,5
515,You're the kind of person I want to text all day.,92
516,I can't get over how good you look.,82
517,Just thinking about you makes me smile like a clown.,96
518,This convo is lowkey a good vibe.,31
519,"Stop making me blush, you're too cute.",83
520,I can't get over how good you look.,89
521,You're a whole W in my book.,55
522,You're really fun to be around,62
523,Thanks for being so helpful,38
524,You're drop-dead gorgeous 😍,97
525,That's a really good point,18
526,You're really fun to be around,47
527,Wanna watch a movie at my place?,84
528,Thanks for being so helpful,17
529,Want to catch a movie this weekend?,58
530,I'm falling for you hard,94
531,You're the most beautiful woman I've ever seen,99
532,You're not giving basic at all.,23
533,Can you double-check these numbers?,2
534,Don't forget about tomorrow's meeting,5
535,Can we schedule a call for next week?,12
536,You look stunning as always,87
537,You're the kind of person I want to text all day.,95
538,"Hey gorgeous, what are you up to?",91
539,"That's a slay, no cap.",22
540,Hope you're having a good week,24
541,Can we schedule a call for next week?,5
542,Lowkey glad we're on the same team.,19
543,You have a mad good aura.,41
544,I feel so comfortable around you,44
545,You make my heart skip a beat,94
546,You have the most beautiful laugh,77
547,I'm so lucky to know you ❤️,94
548,I'd go delulu for you.,96
549,You're such a sweetheart 💕,92
550,"Your body is a masterpiece, you're an artist.",93
551,I'm so glad I slid into your DMs. 😉,75
552,Let's grab a coffee or something sometime. No cap.,56
553,You looked really cute today,85
554,You always make me laugh,56
555,"You're not sus, you're just cool.",32
556,I love your positive energy,38
557,You look stunning as always,75
558,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",95
559,Haha that was funny 😂,17
560,Did you finish the homework?,1
561,"Stop making me blush, you're too cute.",86
562,"Wow, you're absolutely gorgeous 😍",92
563,That's so thoughtful of you,19
564,Thanks for helping me out,18
565,I'm lowkey obsessed with you.,75
566,You're everything I've been looking for,96
567,You have such beautiful features,76
568,"If you're ever free, I'm dtf... to define the relationship. 😉",71
569,Did you finish the homework?,0
570,I'm lowkey obsessed with you.,82
571,What's the vibe today? 😊,19
572,That was a great presentation,18
573,"That's a slay, no cap.",39
574,You're my everything ❤️💕,98
575,Let's hang out soon,70
576,I had fun hanging out with you,49
577,I'm falling for you hard,95
578,Please review the attached document,11
579,We should do this more often,42
580,I keep thinking about you 😘,94
581,Let's discuss this in detail tomorrow,4
582,You're so photogenic,90
583,"I'm not trying to be delulu, but I think you're stunning.",89
584,I had fun hanging out with you,66
585,I really enjoy spending time with you,67
586,"I hope this isn't a situationship, because I want you all to myself.",93
587,I appreciate your advice,25
588,Hope your day is bussin' 🙌,30
589,Have you seen the latest updates?,4
590,You've got the most beautiful smile 😊,89
591,Please confirm your attendance,0
592,You're giving main character energy.,58
593,Can you double-check these numbers?,0
594,The deadline is approaching,12
595,You take my breath away,96
596,Hope your day is bussin' 🙌,23
597,You have a mad good aura.,65
598,I admire how talented you are,43
599,You're very insightful,36
600,You're the girl of my dreams,92
601,You have a mad good aura.,43
602,I'm highkey excited to see you.,46
603,Just thinking about you makes me smile like a clown.,94
604,I can't get over how good you look.,79
605,I had fun hanging out with you,52
606,You're giving main character energy.,42
607,"I'm not even playing, you're a perfect 10.",84
608,You're absolutely perfect 💕,99
609,You're perfect in every way,100
610,"I'm not trying to be delulu, but I think you're stunning.",78
611,I always look forward to seeing you,48
612,You're such a good friend,22
613,I think about you all the time,91
614,Just dropping in to say hey! 👋,35
615,You make my heart race every time I see you,93
616,The client wants to reschedule,11
617,That's a really good point,32
618,You looked stunning last night ✨,94
619,You have such a warm personality,65
620,I can't get over how good you look.,81
621,I'm highkey excited to see you.,54
622,The client wants to reschedule,4
623,Have you seen the latest updates?,1
624,I stan your work ethic.,25
625,I had fun hanging out with you,57
626,I keep thinking about you 😘,92
627,You're so photogenic,74
628,You're really fun to be around,60
629,Can you send me the report by tonight?,4
630,You're giving me all the feels. ❤️,87
631,I'm so lucky to know you ❤️,94
632,"Your energy is so attractive, it's wild.",83
633,I always look forward to seeing you,60
634,Your eyes are mesmerizing 👀,92
635,"Hey, how are you doing?",29
636,Wanna watch a movie at my place?,89
637,You brighten up the room,64
638,I'm completely smitten with you 💕,95
639,You look stunning as always,82
640,"I'm simping hard for you, no cap.",96
641,You have such pretty hair,83
642,You looked stunning last night ✨,94
643,You've got the most beautiful smile 😊,76
644,That outfit is 🔥🔥🔥,95
645,You're my favorite person ❤️,92
646,"I'm not even trying to rizz you up, but you're a vibe.",45
647,"Every time you text me, my phone does a happy dance.",88
648,Wanna grab lunch sometime?,63
649,Thanks for helping me out,26
650,You make everything better when you're around,75
651,What's your favorite movie?,32
652,Looking at you makes my day better,74
653,Looking at you makes my day better,85
654,You're not giving basic at all.,33
655,You have the most beautiful laugh,77
656,You're the only person who gives me butterflies.,97
657,You're not giving basic at all.,32
658,Can you send me the report by tonight?,10
659,You have great taste in music,55
660,You looked fire 🔥 today,79
661,You always make me laugh,61
662,That's so thoughtful of you,17
663,You're very insightful,16
664,Have you seen the latest updates?,9
665,Did you finish the homework?,13
666,Want to catch a movie this weekend?,63
667,"Hey, how are you doing?",21
668,Don't forget about tomorrow's meeting,5
669,You always make me laugh,46
670,My day was mid until I saw your text.,66
671,You brighten up the room,41
672,Just dropping in to say hey! 👋,29
673,"On God, you're a good person.",17
674,"I'm not trying to be delulu, but I think you're stunning.",75
675,Wanna grab lunch sometime?,52
676,I want to be your sneaky link and your forever link.,95
677,You're the best thing that happened to me ❤️,96
678,Wanna watch a movie at my place?,86
679,"Your 'fit was fire today, no cap.",52
680,The client wants to reschedule,9
681,You look incredible today,78
682,What's the status on that assignment?,2
683,I'm completely smitten with you 💕,93
684,"That's so real, fr fr.",25
685,Don't forget about tomorrow's meeting,9
686,Wanna grab lunch sometime?,51
687,"On God, you're a good person.",21
688,Thanks for the reminder,7
689,"On God, you're a good person.",35
690,I keep thinking about you 😘,94
691,I always look forward to seeing you,54
692,Thanks for being so helpful,23
693,Please review the attached document,5
694,Your smile is contagious,75
695,I'd go delulu for you.,91
696,What time is the presentation?,15
697,You look stunning as always,80
698,You have such pretty hair,82
699,Wanna watch a movie at my place?,75
700,You brighten up the room,68
701,You brighten up the room,64
702,"I'm simping hard for you, no cap.",91
703,Can we work on the project together?,1
704,Let's go for coffee sometime ☕,57
705,I always look forward to seeing you,61
706,Can we work on the project together?,4
707,"That's a slay, no cap.",17
708,Want to catch a movie this weekend?,48
709,You make work more enjoyable,45
710,I feel so comfortable around you,58
711,The meeting has been moved to 3 PM,8
712,"Thanks for the tea, spill it all! ☕",16
713,I'd go delulu for you.,92
714,You looked stunning last night ✨,91
715,You're really easy to talk to,51
716,What time is the presentation?,4
717,Don't forget about tomorrow's meeting,12
718,The client wants to reschedule,9
719,"Wow, you're absolutely gorgeous 😍",96
720,You're such a good friend,28
721,I think about you all the time,96
722,I admire how talented you are,61
723,You're such a sweetheart 💕,91
724,You're really talented,25
725,"I'm not trying to be delulu, but I think you're stunning.",88
726,Wanna grab lunch sometime?,69
727,Thanks for helping me out,18
728,You look amazing in that dress,86
729,Wanna grab lunch sometime?,65
730,That joke cracked me up haha,28
731,"I hope this isn't a situationship, because I want you all to myself.",93
732,You make everything better when you're around,85
733,"I'm on a no-rizz streak, but you're making it hard.",59
734,"I'm not gonna lie, you're pretty cool. 😉",54
735,You're really easy to talk to,46
736,Thanks for the reminder,5
737,You make work more enjoyable,52
738,You have such pretty hair,89
739,I'd love to spend more time with you ❤️,95
740,You look stunning as always,86
741,You're the kind of person I want to text all day.,96
742,Please confirm your attendance,14
743,Let's go for coffee sometime ☕,60
744,You're giving main character energy.,42
745,I had fun hanging out with you,63
746,I admire how talented you are,46
747,Can you help me with this task?,14
748,You're really easy to talk to,51
749,I feel so comfortable around you,65
750,I can't get you out of my mind,94
751,"You're not sus, you're just cool.",40
752,I can't get you out of my mind,94
753,We should do this more often,49
754,"I hope this isn't a situationship, because I want you all to myself.",91
755,I appreciate your advice,21
756,"That was a whole mood, lol.",39
757,Can you help me with this task?,8
758,Did you get my email?,9
759,You looked stunning last night ✨,91
760,Let me know if you need any clarification,10
761,You're such a good friend,20
762,You're the kind of person I want to text all day.,95
763,What's the vibe today? 😊,27
764,"I'm not trying to be delulu, but I think you're stunning.",87
765,I always look forward to seeing you,61
766,You have such beautiful features,83
767,Just dropping in to say hey! 👋,24
768,Lowkey glad we're on the same team.,22
769,"I'm lowkey catching feelings, lol.",42
770,"You're my biggest W, for real.",92
771,I can't stop smiling when I'm with you,76
772,You're the best thing that happened to me ❤️,98
773,Thanks for helping me out,31
774,I'm so glad I slid into your DMs. 😉,83
775,Please confirm your attendance,10
776,You're my favorite notification.,79
777,You're my dream come true,99
778,You always make me laugh,51
779,"Your smile hits different, for real.",74
780,"I'm not even trying to rizz you up, but you're a vibe.",51
781,You're so photogenic,87
782,"I hope this isn't a situationship, because I want you all to myself.",91
783,I can't get you out of my mind,92
784,Please review the attached document,1
785,You have a mad good aura.,48
786,"That was a whole mood, lol.",23
787,That color looks amazing on you,90
788,You're driving me crazy in the best way,98
789,"I'm dead, that's so funny 😂💀",26
790,I'm completely smitten with you 💕,91
791,Thanks for the reminder,15
792,What's the status on that assignment?,13
793,Hope your day is bussin' 🙌,22
794,I appreciate your advice,24
795,Don't forget about tomorrow's meeting,11
796,You're really talented,22
797,Let me know if you need any clarification,5
798,Please confirm your attendance,9
799,Can you send me the report by tonight?,13
800,"Your smile hits different, for real.",71
801,You look amazing in that dress,80
802,Can we work on the project together?,14
803,Did you get my email?,2
804,I'm head over heels for you,99
805,Wanna watch a movie at my place?,76
806,I always look forward to seeing you,65
807,"Your energy is so attractive, it's wild.",75
808,"I'm not gonna lie, you're pretty cool. 😉",56
809,You have a mad good aura.,44
810,You take my breath away,91
811,That's so thoughtful of you,27
812,You brighten up the room,61
813,Lowkey been thinking about that convo we had.,65
814,That dress suits you so well,79
815,Hope you're having a good week,34
816,You're absolutely perfect 💕,97
817,Wanna grab a drink tonight?,60
818,You're so cute when you laugh,77
819,"You have so much rizz, it's not fair.",71
820,You're very insightful,30
821,You take my breath away,95
822,Let's hang out soon,55
823,You have a great sense of humor,27
824,I'm highkey excited to see you.,47
825,You always make me laugh,55
826,"If you're ever free, I'm dtf... to define the relationship. 😉",72
827,"On God, you're a good person.",18
828,"Your energy is so attractive, it's wild.",88
829,You're a whole W in my book.,62
830,"Your energy is so attractive, it's wild.",74
831,You're not giving basic at all.,19
832,Can we work on the project together?,4
833,You're my favorite notification.,76
834,You have the prettiest eyes,78
835,I feel so comfortable around you,69
836,I really enjoy spending time with you,46
837,"Hey, how are you doing?",21
838,This convo is lowkey a good vibe.,33
839,"I'm not even trying to rizz you up, but you're a vibe.",60
840,You're such a good friend,30
841,You're my favorite person ❤️,94
842,Let me know if you need any clarification,3
843,You're absolutely divine,99
844,Let's grab a coffee or something sometime. No cap.,65
845,I enjoy our conversations,17
